num_facilities,overall_rating,rn_hours_total,staff_turnover_pct,total_fines,total_payment_denials,hosp_per_1000_residents,falls_with_injury,pressure_ulcers,uti_pct,catheter_pct,mobility_decline_pct,restrained_pct,incontinence_pct,weight_loss_pct,depression_pct
7.0,2.2,0.7,51.4,5.0,0.0,1.8,4.7,5.1,2.8,2.1,17.5,0.1,22.4,4.8,24.7
6.0,2.3,0.5,34.8,5.0,6.0,2.5,1.6,3.9,0.1,0.0,6.6,0.1,4.2,3.1,7.4
16.0,2.5,0.5,34.5,14.0,3.0,2.8,1.6,5.7,1.3,0.6,9.4,0.0,10.8,4.2,20.6
7.0,1.3,0.5,49.5,6.0,0.0,1.3,2.7,5.6,2.0,1.6,27.4,0.0,26.7,7.7,8.7
5.0,3.6,0.4,47.8,0.0,0.0,1.3,3.6,4.1,0.9,0.3,13.6,0.0,18.5,5.6,3.8
4.0,2.8,0.3,66.4,7.0,0.0,1.7,2.0,5.4,1.1,0.4,8.7,0.0,21.6,5.4,18.3
6.0,2.5,0.6,49.0,17.0,2.0,1.8,2.7,6.4,0.1,0.5,17.5,0.0,24.3,9.6,41.5
37.0,2.4,0.7,42.9,29.0,10.0,1.7,3.7,4.2,2.5,1.7,22.5,0.0,27.8,6.0,4.0
26.0,4.8,1.3,24.2,2.0,0.0,1.6,3.5,6.0,2.7,1.9,14.4,0.0,20.2,4.6,0.2
8.0,3.0,0.8,45.4,2.0,1.0,1.7,4.9,4.9,3.0,1.2,26.1,0.0,27.2,4.4,10.5
26.0,4.8,1.7,44.3,27.0,0.0,1.9,3.1,5.0,1.3,0.7,16.6,0.0,20.7,5.6,4.7
6.0,3.5,0.5,38.8,2.0,0.0,2.4,2.9,6.8,1.4,1.2,20.6,0.1,18.2,2.9,0.3
30.0,3.3,0.4,46.8,41.0,1.0,2.0,3.5,3.8,0.2,0.2,13.9,0.0,14.2,2.9,2.6
6.0,1.5,0.4,66.5,9.0,2.0,2.4,2.2,5.6,3.2,1.5,22.0,0.0,17.5,4.0,3.1
5.0,3.8,1.6,39.0,2.0,2.0,1.6,1.9,4.2,3.1,5.1,11.3,0.2,10.2,5.1,1.0
8.0,1.9,0.7,40.9,16.0,1.0,1.9,6.4,4.9,3.0,1.1,21.1,0.0,23.1,6.7,21.1
15.0,2.3,0.4,54.6,8.0,3.0,1.8,2.7,5.6,1.3,0.9,17.9,0.3,19.8,5.7,6.7
5.0,3.2,2.1,17.9,7.0,2.0,2.7,1.3,8.3,2.5,7.0,11.8,3.1,3.1,6.9,0.1
14.0,2.1,0.3,49.8,10.0,4.0,2.0,2.2,3.3,0.9,0.3,11.1,0.0,15.4,4.1,9.9
7.0,3.7,0.8,38.1,6.0,3.0,1.7,3.6,4.2,1.2,0.9,16.9,0.0,28.0,6.2,2.6
7.0,2.9,0.9,41.8,5.0,0.0,2.7,1.5,9.9,1.2,1.3,12.8,0.0,8.4,3.8,0.9
9.0,2.8,0.6,47.9,26.0,11.0,1.6,1.7,5.7,0.0,0.0,7.6,0.0,20.7,7.3,94.3
19.0,2.3,0.6,54.0,24.0,7.0,2.1,2.8,5.8,0.6,0.3,6.6,0.1,19.5,5.5,17.2
3.0,1.7,0.5,74.9,4.0,0.0,2.2,1.5,5.3,0.4,4.1,17.9,0.0,22.3,2.4,2.9
8.0,3.8,0.6,38.8,4.0,0.0,1.7,3.0,3.0,2.9,1.3,19.1,0.0,14.6,3.1,2.4
9.0,1.7,0.4,54.2,24.0,5.0,1.8,2.8,7.8,1.8,1.2,31.5,0.0,27.3,7.5,3.0
6.0,4.3,0.7,29.9,0.0,0.0,1.6,1.7,8.9,0.5,0.1,7.9,0.0,13.8,5.5,10.3
15.0,2.5,0.6,42.7,15.0,6.0,1.7,3.6,4.2,3.8,1.5,22.9,0.0,26.5,5.7,68.6
5.0,1.8,0.5,47.3,13.0,1.0,1.9,2.5,4.4,1.0,1.0,26.9,0.0,20.6,6.9,6.6
22.0,3.3,0.7,56.9,7.0,3.0,1.6,4.4,3.4,0.8,0.0,5.2,0.0,20.6,5.4,23.0
14.0,1.6,0.4,63.9,19.0,6.0,2.1,3.8,4.9,1.1,0.4,22.3,0.0,23.1,2.4,61.5
4.0,3.8,1.1,32.4,1.0,0.0,2.0,3.8,2.1,3.1,0.6,13.3,0.6,21.3,3.3,1.9
6.0,2.5,0.8,58.3,5.0,2.0,1.3,3.5,4.0,1.8,0.8,25.9,0.0,29.9,3.5,2.6
6.0,2.5,0.5,47.6,4.0,1.0,2.0,3.0,5.5,2.1,1.0,14.0,0.2,19.7,4.3,43.1
6.0,2.7,0.7,63.0,7.0,0.0,1.7,2.5,3.8,1.0,0.7,19.5,0.0,24.2,5.5,5.6
91.0,3.8,0.6,44.7,8.0,1.0,1.4,3.6,3.9,0.8,0.2,7.0,0.1,20.9,4.2,32.8
23.0,3.7,0.5,48.5,8.0,0.0,2.1,4.4,5.3,2.5,2.0,17.1,0.0,22.8,7.5,1.6
4.0,1.0,0.5,56.1,7.0,2.0,1.5,2.4,5.0,2.9,1.3,28.7,0.0,25.9,2.7,23.5
38.0,3.6,0.4,53.5,15.0,1.0,2.0,3.9,3.7,0.6,0.3,12.0,0.0,13.6,3.1,0.6
20.0,2.5,0.5,62.0,16.0,7.0,1.6,2.9,3.3,0.2,0.0,4.7,0.0,17.3,5.0,27.0
33.0,2.1,0.6,47.5,73.0,23.0,1.9,2.4,4.8,0.4,0.5,13.4,0.1,22.5,5.6,78.4
20.0,2.2,0.6,41.4,24.0,3.0,2.3,3.5,4.8,2.1,1.9,22.2,0.0,22.7,7.2,9.2
13.0,3.0,0.6,60.6,23.0,4.0,1.9,2.5,5.8,0.9,0.6,9.7,0.1,13.2,5.7,1.6
9.0,2.4,0.6,63.2,0.0,1.0,1.7,4.5,4.3,2.3,2.3,22.2,0.0,26.1,6.3,1.5
7.0,2.0,0.8,80.1,8.0,4.0,1.4,2.9,4.4,2.2,2.9,26.3,0.1,27.0,7.2,3.8
16.0,2.3,0.7,52.8,21.0,7.0,1.8,3.1,4.5,0.5,0.2,7.4,0.0,20.4,6.2,2.2
21.0,1.7,0.4,48.6,51.0,27.0,1.8,2.7,3.3,1.1,0.9,20.0,0.0,23.5,9.5,76.3
7.0,3.7,0.8,36.3,0.0,0.0,1.5,2.3,4.1,0.6,0.2,9.0,0.0,18.5,5.9,22.7
5.0,2.2,0.7,59.5,10.0,3.0,2.1,2.7,6.5,3.2,1.3,17.5,0.0,25.6,7.7,4.8
9.0,2.3,0.5,44.6,11.0,0.0,2.4,1.7,7.0,0.4,0.3,5.8,0.5,15.0,3.8,13.6
5.0,1.6,0.3,60.9,6.0,4.0,3.2,1.3,10.6,1.9,1.7,31.1,0.3,19.4,2.5,1.3
7.0,4.1,0.8,41.3,5.0,0.0,1.5,3.9,3.7,0.9,0.1,15.1,0.0,24.7,5.3,5.5
2.0,4.0,2.2,19.4,1.0,0.0,1.2,1.5,1.7,4.6,8.1,28.8,0.0,13.8,8.5,1.8
20.0,2.6,0.8,53.4,23.0,13.0,2.1,4.8,5.7,1.7,0.4,21.9,0.1,20.7,5.6,9.5
